# ----------------------------------------
# 1 Master View
# Webanalytics_Analyse
# 20100101-20181217
# ----------------------------------------

Default Channel Grouping (Standard-Channelgruppierung),Alter,Land,Absprungrate,Nutzer,Seiten/Sitzung,Durchschnittl. Sitzungsdauer,Eindeutige Ereignisse,Hinzufügungen des Produkts zum Einkaufswagen,Purchase Completed (Abschlüsse für Zielvorhaben 1),E-Commerce-Conversion-Rate,Durchschn. Preis,Durchschn. Bestellwert,Gesamtwert,Umsatz
Organic Search,18-24,Nigeria,"63,10 %",180,"3,32",00:01:54,137,58,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,France,"63,10 %",245,"1,58",00:00:24,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Sweden,"63,08 %",180,"1,52",00:00:35,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,India,"63,05 %",830,"1,88",00:01:03,144,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Netherlands,"62,95 %",325,"2,63",00:00:33,108,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Philippines,"62,94 %",858,"1,72",00:00:39,144,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Greece,"62,90 %",527,"3,34",00:02:00,332,79,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Vietnam,"62,90 %",995,"3,18",00:01:30,469,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Denmark,"62,77 %",440,"3,21",00:02:05,224,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Thailand,"62,70 %",5.958,"1,98",00:00:49,1.681,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Germany,"62,68 %",411,"1,93",00:00:38,144,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Austria,"62,66 %",498,"2,84",00:01:40,101,58,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Russia,"62,63 %",2.395,"3,31",00:01:28,1.342,231,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,18-24,Singapore,"62,61 %",108,"3,07",00:02:07,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Belgium,"62,61 %",108,"3,32",00:00:59,72,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Hungary,"62,61 %",101,"1,88",00:00:46,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Croatia,"62,61 %",115,"1,70",00:00:32,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,India,"62,57 %",6.607,"1,93",00:00:43,1.298,224,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Italy,"62,53 %",2.640,"3,34",00:01:25,1.226,260,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Vietnam,"62,43 %",123,"2,34",00:01:50,65,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,35-44,Indonesia,"62,43 %",159,"3,00",00:00:55,50,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Germany,"62,43 %",173,"2,21",00:00:37,29,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Indonesia,"62,40 %",2.683,"1,88",00:00:43,649,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Chile,"62,34 %",224,"2,68",00:01:34,101,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,35-44,Germany,"62,25 %",130,"2,63",00:02:19,43,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Egypt,"62,25 %",144,"2,34",00:00:56,94,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Saudi Arabia,"62,24 %",1.104,"1,63",00:00:37,166,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Indonesia,"62,18 %",411,"2,14",00:01:05,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Norway,"62,18 %",635,"3,21",00:01:27,325,87,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Norway,"62,05 %",231,"3,45",00:00:52,137,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Italy,"62,02 %",1.010,"3,71",00:01:48,555,87,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Czechia,"61,95 %",1.233,"3,46",00:01:48,519,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Czechia,"61,93 %",512,"3,33",00:01:22,289,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Saudi Arabia,"61,93 %",505,"1,84",00:00:57,123,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Morocco,"61,91 %",498,"2,62",00:01:07,216,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Peru,"61,82 %",563,"1,85",00:00:46,267,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Portugal,"61,71 %",1.111,"2,86",00:01:16,289,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,18-24,Hong Kong,"61,70 %",79,"3,07",00:01:08,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,35-44,Denmark,"61,70 %",87,"2,61",00:00:59,72,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,45-54,Israel,"61,70 %",72,"3,30",00:01:04,36,7,7,"7,45 %","61,82 $","61,82 $","432,72 $","432,72 $"
Referral,45-54,Italy,"61,70 %",87,"5,06",00:00:40,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,45-54,South Korea,"61,70 %",79,"2,07",00:00:14,22,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Hong Kong,"61,70 %",94,"2,15",00:00:29,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Slovenia,"61,70 %",79,"1,38",00:00:10,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,United Kingdom,"61,68 %",9.067,"2,94",00:01:29,3.578,830,7,"0,06 %","21,88 $","90,64 $","634,48 $","634,48 $"
Direct,18-24,Vietnam,"61,67 %",454,"3,16",00:01:58,231,58,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Denmark,"61,62 %",1.205,"2,84",00:01:18,433,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Bulgaria,"61,46 %",541,"1,68",00:00:29,166,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,United Kingdom,"61,45 %",3.672,"2,92",00:01:27,1.385,216,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Thailand,"61,44 %",5.323,"1,78",00:00:39,909,101,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Spain,"61,44 %",765,"2,30",00:00:57,180,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Austria,"61,38 %",952,"2,77",00:01:04,296,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Indonesia,"61,37 %",512,"2,65",00:01:07,180,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Italy,"61,32 %",628,"1,86",00:00:28,238,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Other Paid Search,55-64,United States,"61,31 %",260,"5,90",00:02:06,238,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Morocco,"61,28 %",390,"2,54",00:01:26,166,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,United Kingdom,"61,27 %",1.565,"2,55",00:00:51,541,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Peru,"61,25 %",555,"2,26",00:02:09,166,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Pakistan,"61,22 %",1.031,"3,30",00:01:28,548,87,7,"0,64 %","10,30 $","17,00 $","119,02 $","119,02 $"
Organic Search,35-44,Switzerland,"61,12 %",837,"2,67",00:01:24,303,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Germany,"61,11 %",7.711,"3,28",00:01:25,3.859,974,14,"0,15 %","9,47 $","251,02 $","3.514,30 $","3.514,30 $"
Organic Search,25-34,Vietnam,"61,10 %",692,"3,44",00:01:17,332,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Colombia,"61,08 %",483,"2,24",00:01:14,216,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Indonesia,"61,01 %",2.308,"2,50",00:01:11,541,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,France,"60,95 %",5.807,"3,52",00:02:12,2.763,700,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Singapore,"60,89 %",188,"3,21",00:02:07,65,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Denmark,"60,89 %",173,"2,36",00:00:22,101,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Jordan,"60,89 %",195,"2,50",00:01:09,87,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Bangladesh,"60,84 %",166,"2,13",00:00:53,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Cyprus,"60,84 %",151,"1,74",00:00:29,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Other Paid Search,18-24,United States,"60,84 %",397,"3,65",00:01:34,310,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Chile,"60,84 %",144,"2,00",00:00:33,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Serbia,"60,83 %",519,"1,60",00:00:42,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Greece,"60,82 %",454,"1,86",00:00:45,173,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Dominican Republic,"60,81 %",289,"1,71",00:00:42,202,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Spain,"60,78 %",3.138,"3,08",00:01:45,1.327,238,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,55-64,Netherlands,"60,77 %",115,"1,78",00:01:44,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,New Zealand,"60,77 %",115,"1,66",00:00:55,43,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Netherlands,"60,76 %",3.700,"2,90",00:02:08,1.753,310,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Vietnam,"60,73 %",13.799,"2,02",00:00:53,2.236,101,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,China,"60,72 %",1.955,"4,21",00:03:00,1.407,180,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Ireland,"60,65 %",252,"2,35",00:00:54,87,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Serbia,"60,64 %",375,"2,82",00:01:41,115,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Romania,"60,58 %",238,"3,11",00:00:47,87,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Malaysia,"60,54 %",1.291,"2,61",00:01:24,267,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,United Kingdom,"60,51 %",10.373,"2,77",00:01:19,3.412,649,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Croatia,"60,50 %",231,"1,73",00:00:28,108,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Chile,"60,50 %",224,"2,27",00:00:41,108,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Saudi Arabia,"60,47 %",325,"3,46",00:01:21,159,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,India,"60,46 %",15.682,"2,75",00:01:38,6.189,1.031,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Denmark,"60,42 %",123,"2,31",00:00:45,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Egypt,"60,42 %",144,"2,31",00:00:36,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Serbia,"60,42 %",144,"2,01",00:00:47,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,India,"60,35 %",440,"2,02",00:01:07,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,35-44,Canada,"60,19 %",188,"3,54",00:02:11,173,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Serbia,"60,19 %",101,"4,88",00:02:00,58,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,45-54,Belgium,"60,19 %",108,"3,14",00:01:50,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Tunisia,"60,19 %",108,"8,55",00:03:14,87,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,25-34,Chile,"60,19 %",108,"1,74",00:00:13,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Saudi Arabia,"60,19 %",202,"1,63",00:00:21,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,18-24,Germany,"60,00 %",166,"2,68",00:02:21,94,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Malaysia,"60,00 %",303,"3,97",00:03:30,173,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Other Paid Search,65+,United States,"60,00 %",123,"2,77",00:01:22,195,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Paid Search,55-64,Canada,"60,00 %",123,"2,57",00:00:53,195,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Germany,"59,99 %",1.154,"3,09",00:01:22,498,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,New Zealand,"59,96 %",851,"3,24",00:02:12,317,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Dominican Republic,"59,92 %",252,"1,86",00:00:45,151,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Australia,"59,86 %",267,"2,70",00:02:26,87,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Belarus,"59,86 %",281,"1,57",00:00:36,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Indonesia,"59,86 %",1.710,"4,53",00:02:22,1.298,317,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Chile,"59,83 %",332,"4,18",00:02:53,231,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Albania,"59,73 %",317,"1,75",00:01:07,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Bosnia & Herzegovina,"59,73 %",397,"1,67",00:00:34,94,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Netherlands,"59,73 %",548,"2,61",00:01:39,144,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Netherlands,"59,72 %",2.150,"3,19",00:01:33,1.046,166,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,25-34,Bulgaria,"59,72 %",72,"1,90",00:00:21,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Moldova,"59,72 %",72,"1,50",00:00:13,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Germany,"59,59 %",3.635,"3,08",00:01:32,1.428,440,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Morocco,"59,59 %",339,"1,66",00:00:31,94,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,65+,India,"59,55 %",245,"2,73",00:01:33,101,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Portugal,"59,41 %",188,"2,02",00:02:44,188,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Germany,"59,39 %",1.212,"3,08",00:01:31,527,115,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,18-24,Brazil,"59,31 %",296,"3,16",00:01:25,94,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Sweden,"59,26 %",1.039,"2,65",00:01:19,325,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Ukraine,"59,24 %",1.587,"4,19",00:02:32,1.262,310,7,"0,34 %","16,83 $","451,90 $","3.163,31 $","3.163,31 $"
Paid Search,25-34,Canada,"59,23 %",310,"2,90",00:01:02,65,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Egypt,"59,14 %",1.284,"2,17",00:00:57,534,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Austria,"59,14 %",837,"2,95",00:01:24,245,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Spain,"59,13 %",5.165,"3,26",00:02:25,2.294,418,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Belgium,"59,12 %",151,"2,50",00:00:29,65,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Paid Search,18-24,Canada,"59,07 %",180,"10,27",00:03:06,411,310,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,35-44,Spain,"59,05 %",548,"3,46",00:04:20,159,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,France,"58,98 %",750,"3,09",00:01:45,433,115,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Egypt,"58,97 %",180,"2,11",00:01:36,79,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Malaysia,"58,97 %",188,"1,92",00:00:35,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Germany,"58,96 %",6.990,"3,14",00:01:22,2.856,512,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Poland,"58,94 %",2.633,"3,43",00:01:43,1.450,252,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Serbia,"58,93 %",591,"1,58",00:00:27,108,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Denmark,"58,90 %",894,"3,90",00:01:22,469,94,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,United Arab Emirates,"58,85 %",195,"2,17",00:01:05,43,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Hungary,"58,82 %",491,"2,76",00:01:53,166,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Greece,"58,82 %",988,"2,70",00:02:15,325,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Malaysia,"58,81 %",404,"2,02",00:00:44,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Switzerland,"58,78 %",209,"3,68",00:02:08,238,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Malaysia,"58,65 %",1.132,"4,36",00:02:27,664,188,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Malaysia,"58,61 %",491,"1,53",00:00:28,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Denmark,"58,60 %",916,"2,81",00:01:57,411,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Australia,"58,56 %",519,"2,14",00:00:51,144,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Russia,"58,54 %",491,"4,57",00:02:05,339,65,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Bulgaria,"58,54 %",541,"2,10",00:00:51,274,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Indonesia,"58,54 %",101,"3,11",00:01:50,43,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Estonia,"58,54 %",115,"3,76",00:01:25,29,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,25-34,Romania,"58,54 %",108,"1,76",00:00:30,14,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Poland,"58,50 %",1.760,"3,73",00:02:22,1.233,130,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Indonesia,"58,48 %",1.089,"2,09",00:00:57,216,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Brazil,"58,45 %",238,"2,97",00:00:55,43,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Hungary,"58,44 %",584,"3,36",00:01:58,332,87,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Taiwan,"58,42 %",1.450,"2,53",00:01:41,397,58,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Croatia,"58,38 %",289,"4,36",00:01:35,173,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Austria,"58,38 %",159,"2,62",00:00:29,36,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Chile,"58,38 %",151,"2,88",00:01:24,137,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Belgium,"58,30 %",750,"3,10",00:01:27,361,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Poland,"58,12 %",613,"4,05",00:02:15,397,65,7,"0,92 %","122,63 $","245,25 $","1.716,76 $","1.716,76 $"
Organic Search,35-44,Poland,"58,10 %",1.089,"3,14",00:01:11,454,58,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Saudi Arabia,"58,08 %",231,"3,13",00:01:02,151,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Italy,"58,08 %",260,"3,61",00:01:27,166,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Hong Kong,"58,08 %",224,"5,66",00:02:25,159,50,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Hong Kong,"58,05 %",931,"4,21",00:01:53,527,94,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Peru,"58,05 %",454,"5,51",00:04:18,599,281,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Greece,"58,04 %",671,"4,75",00:01:55,491,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Lithuania,"58,04 %",173,"2,96",00:01:13,58,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Iraq,"58,04 %",216,"1,90",00:00:35,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Israel,"58,04 %",195,"1,77",00:01:26,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Malaysia,"58,03 %",260,"6,53",00:04:08,339,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,India,"57,96 %",25.665,"3,02",00:01:49,11.036,2.251,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Spain,"57,91 %",339,"2,46",00:01:49,159,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,25-34,Colombia,"57,89 %",274,"2,84",00:03:12,130,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,United States,"57,83 %",7.372,"4,20",00:02:00,6.809,1.587,188,"1,75 %","5,82 $","278,69 $","52.394,64 $","52.394,64 $"
Social,25-34,Bosnia & Herzegovina,"57,81 %",469,"1,78",00:00:34,188,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Spain,"57,80 %",822,"3,05",00:01:38,390,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Argentina,"57,79 %",411,"6,21",00:03:06,418,29,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Slovakia,"57,78 %",527,"5,55",00:01:47,577,108,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Romania,"57,74 %",2.085,"2,34",00:01:10,548,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,France,"57,69 %",2.373,"3,59",00:02:07,1.277,274,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Switzerland,"57,68 %",1.782,"3,79",00:01:39,801,108,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Austria,"57,66 %",137,"2,95",00:00:38,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Denmark,"57,66 %",115,"3,37",00:03:42,87,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Jordan,"57,62 %",137,"3,58",00:03:09,87,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Netherlands,"57,62 %",137,"2,72",00:01:17,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
